startup_name,article_summary,publication_date,year,funding_amount,funding_round_raw,funding_round,investor_names,city,canton,founded_year,employees,website,location,industry,sub_industry,business_model_type,primary_keywords,secondary_keywords
Delta Labs AG,The company develops AI-powered customer simulation tools that help businesses anticipate how customers will respond to decisions before they are made.,2026-04-02,2026,4.4M EUR,seed round,Seed,"Cusp Capital, Auxxo Female Catalyst Fund",,,2022.0,,,Switzerland,Other,,B2B-Services,AI,BioTech
Artificialy SA,"2026 Lugano-based Artificialy announced an a strategic investment from UBS, strengthening the partnership between Artificialy and the global banking group.",2026-04-02,2026,,strategic investment,Strategic Investment,UBS,Lugano,TI,2020.0,,,Switzerland,BioTech,,Deep Tech / IP,AI,"FinTech, Manufacturing"
Cohaga AG,Galler cohaga AG betreibt die führende Schweizer Direktmarketing Plattform LeadHub.,2026-04-02,2026,undisclosed,Kapitalerhöhung,Undisclosed,,St. Gallen,SG,2020.0,30.0,,Switzerland,Enterprise SaaS,"Marketing Tech, HR Tech",B2B-SaaS,SaaS,BioTech
Covalo AG,"2026 Das Zürcher Startup Covalo hat in einer Seed-Erweiterungsrunde 3,5 Millionen Euro eingesammelt, angeführt von Hi inov und mit Beteiligung bestehender Investoren.",2026-04-02,2026,3.5M EUR,Seed,Seed,"Hi inov und mit Beteiligung bestehender Investoren, Hi inov sowie mit Beteiligung der bestehenden Investoren HTGF und seed",Zurich,ZH,2024.0,,,Switzerland,B2C Tech,Beauty & Cosmetics,B2C,,
Lobby AG,2 million to automate group bookings across the travel industry 01.,2026-04-01,2026,2.2M USD,,Undisclosed,Founderful,,,2025.0,,,Switzerland,AI/ML,Business Intelligence,B2C,AI,"BioTech, PropTech"
OOMNIUM AG,"2026 Die Finanzierungsplattform OOMNIUM will verstärkt die Möglichkeiten von KI nutzen und plant zudem, einen digitalen Business-Angel-Club aufzubauen.",2026-04-01,2026,0.87M CHF,,Undisclosed,,,,,,,Switzerland,FinTech,,Unknown,FinTech,BioTech
DeltaSpark AG,"2026 The EPFL spin-off DeltaSpark has obtained CHF 150,000 from Venture Kick to advance a technology that converts CO₂ into stable minerals while producing cheap and clean hydrogen on-site.",2026-03-31,2026,0.15M CHF,seed,Seed,,,,,,,Switzerland,B2C Tech,Logistics & Delivery,Unknown,,"BioTech, ClimateTech, Manufacturing"
Starmind International AG,2026 Swiss AI pioneer Starmind has been acquired by US-based support automation platform Capacity.,2026-03-31,2026,60M USD,,Grant,,,,2010.0,,,Switzerland,AI/ML,"Business Intelligence, Foundation Models",B2B-Services,"AI, GenAI",BioTech
Gaisbock AG,"2026 Wie der Tages-Anzeiger berichtet, steigt Skistar Marco Odermatt neu als Investor bei Gaisbock ein.",2026-03-30,2026,,,Undisclosed,,Sarnen,OW,2023.0,,,Switzerland,B2C Tech,Beauty & Cosmetics,Unknown,,BioTech
MIROS Technology SA,"2026 miros, a Lausanne-based startup founded in 2023 out of the EPFL ecosystem, announced the closing of a CHF 1 million Pre-Seed funding round from various business angels supporting the vision.",2026-03-30,2026,1M CHF,Pre-Seed,Pre-Seed,,Lausanne,VD,2023.0,,,Switzerland,FinTech,,B2B-Hardware,FinTech,"Manufacturing, PropTech"
,2026 Fashion-tech company MySize plans to acquire several assets from Zurich-based sizing technology startup EyeFitU through its subsidiary Naiz Fit.,2026-03-30,2026,0.35M CHF,,Award,,Zurich,ZH,2013.0,,,Switzerland,Enterprise SaaS,HR Tech,B2B-SaaS,SaaS,
Plair SA,"2026 bioMérieux, a global leader in the field of in vitro diagnostics, has invested more than CHF 1 million in Plair, a scale-up company offering a breakthrough solution for real-time microbial detection and air sampling.",2026-03-27,2026,1M CHF,,Award,,,,,,,Switzerland,BioTech,"Drug Discovery, Diagnostics",Deep Tech / IP,BioTech,
Eturnity AG,2026 Eturnity and Solar Monkey merge to form the European leader in installer software.,2026-03-27,2026,,,Award,,,,2015.0,,,Switzerland,CleanTech,Solar,Deep Tech / IP,ClimateTech,
Kielo Research GmbH,"2026 Sanius Health, a leading real-world evidence and patient-generated data company focused on rare and underserved conditions, has acquired Zug-based Kielo Research.",2026-03-27,2026,,,Undisclosed,,Zug,ZG,2022.0,,,Switzerland,B2C Tech,Logistics & Delivery,Unknown,Data Analytics,"BioTech, HealthTech"
SolidWatts SA,8M Seed Round to fuel SolidWatts Industrial Process Heating Vision 26.,2026-03-26,2026,1.8M CHF,Seed Round,Seed,,,,,,,Switzerland,BioTech,Drug Discovery,Deep Tech / IP,BioTech,"ClimateTech, Manufacturing, FoodTech"
Coteries SA,"2026 Idéative annonce l’intégration de l’agence Coteries SA, renforçant ainsi son pôle de compétences digitales.",2026-03-26,2026,,,Undisclosed,,,,,,,Switzerland,Other,,Unknown,,
MESH AG,8 million seed round to automate rebar construction globally 26.,2026-03-26,2026,3.8M USD,seed round,Seed,"ABB Robotics Ventures, Apprecia Capital, Shimizu Corporation",,,2022.0,,,Switzerland,FinTech,,B2B-Hardware,Robotics,"Manufacturing, PropTech"
Miraex SA,The LOI provides for a 60-day exclusivity period during which the parties will conduct confirmatory due diligence and negotiate definitive transaction documents and is binding on the part of Miraex.,2026-03-25,2026,,strategic investment,Strategic Investment,,,,,,,Switzerland,FinTech,Crypto & Blockchain,B2B-Hardware,DeepTech,
PAVE Space SA,"2026 PAVE Space, a Swiss space infrastructure company, today announced it has raised USD 40 million in seed funding to develop a new generation of spacecraft designed to move satellites rapidly between orbits.",2026-03-25,2026,40M USD,seed,Seed,"Visionaries Club, Creandum, Lombard Odier Investment Managers, Atlantic Labs, Sistafund",Lausanne,VD,2024.0,,,Switzerland,B2C Tech,Logistics & Delivery,Unknown,Logistics,BioTech
,"2026 The biotech startup NanoZymeX has obtained CHF 150,000 from Venture Kick to advance a new platform for enzyme replacement therapy using lipid nanoparticles.",2026-03-25,2026,0.15M CHF,seed,Seed,,,,,,,Switzerland,B2C Tech,Logistics & Delivery,Unknown,"IoT, Logistics",BioTech
,"2026 VitaminºC, a new venture capital firm, today announced the first close of its €18M ($20M) debut early-stage climate fund.",2026-03-24,2026,20M USD,pre-seed,Pre-Seed,"European entrepreneurial families, supported by successful climate",,,2022.0,,,Switzerland,CleanTech,"Solar, Carbon & Offsetting",Deep Tech / IP,ClimateTech,"BioTech, ClimateTech"
,2026 Der Zürcher Naturpflegehersteller Soeder steigerte den Umsatz vergangenes Jahr um 25 Prozent und schloss im September eine Finanzierungsrunde ab.,2026-03-24,2026,,,,,Zurich,ZH,,,,Switzerland,B2C Tech,Beauty & Cosmetics,Unknown,,BioTech
Kandou AI,"2026 Kandou AI, a leader in high-speed, energy-efficient connectivity and system solutions for the AI era, closed its $225mm strategic funding round led by Maverick Silicon with strategic participation from SoftBank Group Corp.",2026-03-23,2026,225M USD,Series A,Series A,,,,,,,Switzerland,BioTech,,B2B-Hardware,AI,
Umlaut.bio GmbH,,2026-03-23,2026,3M EUR,pre-seed round,Pre-Seed,,,,,,,Switzerland,BioTech,"Drug Discovery, Oncology",Deep Tech / IP,"GenAI, IoT, BioTech",
EVis Bioscience AG,"2026 Zurich-based EVis Bioscience AG, an ETH Zurich spin-off developing next-generation RNA delivery systems, has raised €740,000 on Capital Cell, surpassing the original funding target.",2026-03-20,2026,0.31M CHF,pre-seed round,Pre-Seed,,Zurich,ZH,,,,Switzerland,B2C Tech,Logistics & Delivery,Unknown,Logistics,BioTech
,"The initiative is backed by Swiss national councillor and former entrepreneur Islam Alijaj, serial entrepreneur and investor Hermann Arnold, and Louise Maunoir.",2026-03-20,2026,,,Grant,"Swiss national councillor, former entrepreneur Islam Alijaj, serial entrepreneur, investor Hermann Arnold, Louise Maunoir",,,,,,Switzerland,FinTech,,B2B-Services,FinTech,
RIVR Technologies AG,"2026 Following an investment two years ago, Amazon has acquired ETH Zurich spin-off RIVR Technologies AG.",2026-03-20,2026,22M USD,,,,,,2024.0,,,Switzerland,B2C Tech,Logistics & Delivery,B2B-Hardware,"Robotics, Logistics","BioTech, Manufacturing"
