Priority,Filename,Purpose,Use Case,Key Question Answered
1,INVESTMENT_RECOMMENDATIONS.csv,Buy/Hold/Avoid signals,Startup founders & investors,Where should I focus in 2026?
1,TOP_WINNERS_LOSERS.csv,Winners vs losers ranking,Quick executive summary,Who's winning and losing?
1,SIMPLE_SUMMARY.csv,One-page industry overview,Presentations & reports,Give me the complete picture
2,E_industry_classification.csv,Complete classification,Academic analysis,How are industries classified?
2,YEARLY_COMPARISON.csv,Year-over-year metrics,Trend analysis,How did each year compare?
2,MOMENTUM_LEADERS.csv,Acceleration rankings,Current dynamics,Who's accelerating right now?
3,TOP5_PER_YEAR.csv,Top 5 each year,Leadership tracking,Who dominated each year?
3,FUNDING_ANALYSIS.csv,Deal sizes & volumes,Investor economics,Who gets the big money?
3,RECENT_QUARTERS_TREND.csv,Last 4 quarters focus,Current trends,What's happening lately?
4,A_market_share_pct.csv,Market share by year,Chart creation,Market share trends over time?
4,B_rankings_by_year.csv,Rankings 2023-2026,Chart creation,How did rankings evolve?
4,C_funding_share_pct.csv,Funding distribution,Chart creation,How is funding distributed?
4,D_momentum.csv,Momentum calculations,Chart creation,What's the momentum methodology?
4,F1_deal_count_quarterly.csv,Quarterly deal counts,Time series charts,Quarterly deal volumes?
4,F2_deal_share_quarterly.csv,Quarterly percentages,Composition charts,Quarterly composition shifts?
