course_id;course_title;keywords_count;extracted_keywords
7,003;Technology Entrepreneurship;15;technology entrepreneurship|AI|scalable ventures|pitch presentation|Problem-Solution-Fit|Product-Market-Fit|go-to market strategy|value proposition|unique selling proposition|execution strategy|network leverage|IP management|iterative experience|St.Galler Startup Navigator|customer needs
8,003;RPV: Venturing in Emerging Trends - Entrepreneurship and;14;entrepreneurship|innovation|value creation|Human Centered Design Thinking|External Enablement Framework|Startup Navigator|team collaboration|emerging trends|business innovation|market dynamics|intrapreneurship|solution design|customer expectations|real venture challenges
8,023;FPV: Design Thinking für Digital Innovation;15;Design Thinking|digitale Innovation|Nutzerforschung|Interviewtechniken|Beobachtungstechniken|Rapid Prototyping|Nutzertests|Teamarbeit|Feedback geben|kreative Ideen|Prototypen entwickeln|Innovationsphilosophie|menschzentrierter Ansatz|technologische Entwicklung|Kundenbedürfnisse
8,036;Entrepreneurial Finance;15;entrepreneurial finance|investment criteria|funding sources|investment pitches|valuation methods|deal structures|exit strategies|negotiation skills|investment lifecycle|investment evaluation|venture capital|startup financing|financial modeling|investment actors|entrepreneurial ventures
7,046;Corporate Venturing;14;corporate venturing|entrepreneurship|innovation partnerships|stakeholder interactions|investment process|market entry|resource access|collaboration strategies|venture capital|business strategy|technology access|evaluation methods|synergy realization|interdisciplinary approach
7,023;Tech Investing;15;venture capital|VC readiness|investment memo|due diligence|Scale-Up Navigator|founder friendliness|funding strategy|disruptive technology|impact investing|diversity in funding|start-up evaluation|investment committee|case study|interdisciplinary teams|tech entrepreneurship
7,025;Methods: Scalable Tech Stacks for Business Ideas;15;web-app development|cloud services|tech scalability|Next.js|TypeScript|Tailwind CSS|Vercel|AWS|Azure|Lovable.dev|payment gateways|Platform-as-a-Service|entrepreneurial mindset|scalable tech architecture|secure authentication
7,035;Methods: Lean Venturing;10;Lean Startup|business model validation|opportunity identification|growth planning|entrepreneurship|hands-on experience|team management|sales and marketing|venture financing|business opportunity evaluation
7,043;Mobile Sensing and Behavioral Metrics;14;mobile sensing|behavioral metrics|data collection|digital health|ethical considerations|privacy|consumer electronics|data-driven products|human behavior analysis|surveys|digital media use|physical activity|contextual data|behavioral science
7,046;Corporate Venture Capital;14;corporate venturing|entrepreneurship|innovation partnerships|stakeholder interactions|investment process|market entry|resource access|collaboration strategies|venture capital|business strategy|technology access|evaluation methods|synergy realization|interdisciplinary approach
9,004;FPV: Design Thinking mit KI;14;Design Thinking|AI|collaboration|human-centered design|prototyping|innovation|creativity|AI tools|hybrid teams|business problem solving|user needs|product development|methodology|transformative technology
