keyword,classification,market_share_2025,momentum_pct,share_change,recommendation
GenAI,Emerging  🌱,4.1,168.4,2.3,STRONG BUY - High Growth
Robotics,Emerging  🌱,4.1,109.1,3.1,STRONG BUY - High Growth
MedTech,Growing   ↑,5.0,8.3,1.5,BUY - Solid Growth
BioTech,Growing   ↑,30.9,-1.8,3.2,BUY - Solid Growth
Ecommerce,Stable    →,1.7,23.1,0.4,HOLD - Neutral
PropTech,Stable    →,1.7,23.1,0.4,HOLD - Neutral
AgriTech,Stable    →,1.2,0.0,0.4,HOLD - Neutral
Cybersecurity,Stable    →,0.5,-33.3,-0.3,HOLD - Neutral
HealthTech,Stable    →,4.1,-39.5,-0.2,HOLD - Neutral
FinTech,Slowing   ↓,36.1,-12.3,-0.7,AVOID - Declining
Enterprise,Slowing   ↓,0.7,-26.9,-1.8,AVOID - Declining
ClimateTech,Slowing   ↓,9.8,-47.3,-7.1,AVOID - Declining
EdTech,Slowing   ↓,0.2,-66.7,-0.6,AVOID - Declining
SpaceTech,Slowing   ↓,0.0,-88.9,-0.8,AVOID - Declining
